Latitude,Longitude
50.5313,56.0258
50.6133,56.5993
50.6923,57.1748
50.7682,57.7523
50.8409,58.3316
50.9105,58.9128
50.9715,59.4471
51.0351,60.0318
51.0955,60.618
51.1526,61.2057
51.2066,61.7949
51.2573,62.3858
51.3048,62.9778
51.3491,63.571
51.39,64.1653
51.4277,64.7608
51.4621,65.3572
51.4908,65.9048
51.5189,66.5029
51.5437,67.1017
51.5651,67.7011
51.5833,68.3012
51.5981,68.9015
51.6096,69.5023
51.6177,70.1033
51.6226,70.7045
51.624,71.3059
51.6222,71.9073
51.617,72.5085
51.6093,73.0595
51.5977,73.6602
51.5828,74.2605
51.5646,74.8604
51.543,75.4598
51.5182,76.0586
51.49,76.6567
51.4585,77.254
51.4237,77.8504
51.3856,78.4458
51.3443,79.04
51.3035,79.5837
51.256,80.1756
51.2051,80.7663
51.1511,81.3555
51.0938,81.9432
51.0334,82.5293
50.9697,83.1138
50.9029,83.6965
50.833,84.2776
50.7599,84.8567
50.6837,85.434
50.6044,86.0092
50.522,86.5824
50.4365,87.1535
50.348,87.7224
50.2643,88.2419
50.17,88.8064
50.0728,89.3685
49.9726,89.9283
49.8695,90.4856
49.7635,91.0404
49.6546,91.5926
49.5334,92.1879
49.4282,92.6892
49.3108,93.2334
49.1906,93.7749
49.0676,94.3139
48.9419,94.8497
48.8135,95.3827
48.6824,95.9128
48.5486,96.44
48.4123,96.9643
48.2733,97.4857
48.1436,97.961
47.9876,98.5194
47.8533,98.9891
47.7043,99.4986
47.5529,100.0049
47.3991,100.5082
47.2428,101.0085
47.0842,101.5055
46.9232,101.9994
46.7599,102.4902
46.5942,102.9779
46.4263,103.4624
46.2561,103.9438
46.0837,104.422
45.9091,104.8971
45.7323,105.369
45.5534,105.8377
45.3724,106.3033
45.1892,106.7658
45.0196,107.1869
44.8168,107.6811
44.6276,108.1341
44.4364,108.584
44.2432,109.0307
44.0481,109.4744
43.8511,109.9149
43.6522,110.3524
43.4682,110.7507
43.2658,111.1824
43.0615,111.6109
42.8555,112.0364
42.6477,112.4589
42.4382,112.8784
42.227,113.2949
42.0141,113.7085
41.7995,114.1191
41.5834,114.5268
41.3656,114.9316
41.1462,115.3334
40.9253,115.7324
40.7027,116.1286
40.4787,116.5221
40.272,116.8802
40.0451,117.2682
39.8168,117.6535
39.587,118.0361
39.3558,118.4159
39.1232,118.793
38.8893,119.1674
38.654,119.5393
38.4173,119.9085
38.1993,120.2447
37.9601,120.609
37.7197,120.9708
37.478,121.3301
37.235,121.6868
36.9909,122.0411
36.7456,122.3929
36.4991,122.7423
36.2514,123.0894
36.0026,123.4342
35.7526,123.7765
35.5015,124.1166
35.2494,124.4543
34.9961,124.7898
34.7418,125.1231
34.4865,125.4542
34.23,125.7831
33.9726,126.1099
33.7143,126.4344
33.455,126.7569
33.1947,127.0773
32.9334,127.3956
32.6712,127.7119
32.4081,128.0262
32.1441,128.3385
31.8791,128.6489
31.6133,128.9573
31.3467,129.2639
31.0792,129.5685
30.8109,129.8712
30.5418,130.1722
30.2718,130.4713
30.001,130.7687
29.7295,131.0643
29.4572,131.3582
29.1841,131.6504
28.9103,131.9408
28.6357,132.2296
28.3605,132.5167
28.0845,132.8023
27.8078,133.0862
27.5304,133.3686
27.2524,133.6494
26.9737,133.9287
26.6944,134.2064
26.4145,134.4827
26.1339,134.7574
25.8527,135.0308
25.5709,135.3027
25.2885,135.5732
25.0055,135.8424
24.7219,136.1102
24.4378,136.3766
24.1531,136.6418
23.8679,136.9056
23.5821,137.1682
23.2958,137.4296
23.009,137.6896
22.6737,137.9915
22.3858,138.249
22.0974,138.5053
21.8086,138.7604
21.5193,139.0144
21.2295,139.2673
20.9635,139.4981
20.6728,139.7489
20.3818,139.9987
20.0903,140.2474
19.7983,140.4951
19.506,140.7418
19.2132,140.9875
18.9201,141.2322
18.6265,141.476
18.3326,141.7189
18.0383,141.9609
17.7437,142.2019
17.4733,142.4221
17.178,142.6615
16.8823,142.9
16.5863,143.1377
16.29,143.3746
15.9933,143.6107
15.6963,143.8461
15.3991,144.0806
15.1016,144.3144
14.8037,144.5475
14.5056,144.7799
14.2072,145.0115
13.9334,145.2233
13.6345,145.4537
13.3104,145.7026
13.0109,145.9316
12.7112,146.16
12.4113,146.3879
12.1111,146.6151
11.8108,146.8418
11.5102,147.0679
11.2094,147.2935
10.9084,147.5185
10.6071,147.7431
10.3057,147.9671
10.0041,148.1907
9.7023,148.4138
9.4004,148.6364
9.073,148.8772
8.7707,149.0989
8.4683,149.3202
8.1657,149.5412
7.8629,149.7618
7.5601,149.982
7.2571,150.2019
6.9539,150.4214
6.6254,150.6589
6.322,150.8778
6.0184,151.0964
5.7149,151.3147
5.4111,151.5328
5.1073,151.7506
4.8034,151.9682
4.4994,152.1856
4.1954,152.4028
3.8912,152.6197
3.587,152.8365
3.2828,153.0532
2.9785,153.2696
2.6741,153.486
2.3697,153.7022
2.0653,153.9183
1.7608,154.1343
1.4564,154.3502
1.1518,154.5661
0.8473,154.7819
0.5427,154.9977
0.2382,155.2135
-0.0664,155.4292
-0.371,155.6449
-0.6755,155.8607
-0.98,156.0764
-1.2845,156.2922
-1.589,156.5081
-1.8934,156.724
-2.1977,156.9399
-2.502,157.156
-2.8063,157.3722
-3.1105,157.5885
-3.4147,157.805
-3.7188,158.0216
-4.0229,158.2384
-4.3269,158.4554
-4.6308,158.6725
-4.9346,158.8899
-5.2383,159.1075
-5.542,159.3253
-5.8455,159.5433
-6.1489,159.7617
-6.4522,159.9803
-6.7554,160.1992
-7.0585,160.4184
-7.3615,160.6379
-7.6642,160.8577
-7.9668,161.0779
-8.2693,161.2984
-8.5716,161.5193
-8.8738,161.7406
-9.1758,161.9623
-9.4776,162.1844
-9.7793,162.407
-10.0808,162.63
-10.382,162.8535
-10.6831,163.0774
-10.984,163.3019
-11.2847,163.5268
-11.5853,163.7523
-11.8856,163.9784
-12.1856,164.2049
-12.4853,164.432
-12.7849,164.6597
-13.0842,164.888
-13.3832,165.1169
-13.682,165.3465
-13.9805,165.5767
-14.2788,165.8075
-14.5767,166.039
-14.8496,166.2518
-15.1469,166.4846
-15.4441,166.7182
-15.7656,166.9721
-16.0622,167.2074
-16.3583,167.4432
-16.6541,167.68
-16.9497,167.9175
-17.2447,168.1558
-17.5395,168.3949
-17.834,168.635
-18.128,168.8759
-18.4218,169.1177
-18.7151,169.3605
-19.0081,169.6041
-19.3006,169.8487
-19.5928,170.0942
-19.8845,170.3408
-20.1759,170.5883
-20.4667,170.8368
-20.7572,171.0865
-21.0472,171.3371
-21.3368,171.5888
-21.6258,171.8416
-21.9145,172.0955
-22.2027,172.3506
-22.4903,172.6067
-22.7774,172.864
-23.0642,173.1227
-23.3503,173.3824
-23.636,173.6434
-23.9211,173.9057
-24.2056,174.1692
-24.4896,174.4339
-24.7731,174.7001
-25.0559,174.9674
-25.3382,175.2362
-25.6199,175.5064
-25.901,175.7779
-26.1815,176.0508
-26.4614,176.3252
-26.7408,176.6012
-27.0194,176.8785
-27.2973,177.1573
-27.5746,177.4377
-27.8511,177.7195
-28.1041,177.9793
-28.3794,178.2642
-28.6539,178.5507
-28.9278,178.8389
-29.2008,179.1287
-29.4732,179.4201
-29.7674,179.7379
-30.0382,-179.967
-30.3083,-179.6702
-30.5774,-179.3716
-30.8459,-179.0712
-31.1134,-178.769
-31.3802,-178.4648
-31.6461,-178.1589
-31.9111,-177.851
-32.1753,-177.5413
-32.4166,-177.2556
-32.6791,-176.9422
-32.9405,-176.6267
-33.2011,-176.3092
-33.4607,-175.9897
-33.7193,-175.6681
-33.977,-175.3444
-34.2336,-175.0187
-34.4892,-174.6908
-34.7439,-174.3607
-34.9975,-174.0284
-35.2501,-173.6937
-35.5224,-173.3289
-35.7727,-172.9897
-36.0218,-172.6482
-36.2493,-172.3331
-36.4963,-171.987
-36.7421,-171.6387
-36.9868,-171.288
-37.2302,-170.9349
-37.4725,-170.5792
-37.7135,-170.2212
-37.9532,-169.8606
-38.1917,-169.4975
-38.4289,-169.1319
-38.6648,-168.7637
-38.8994,-168.393
-39.1326,-168.0195
-39.3452,-167.6749
-39.5757,-167.2965
-39.8048,-166.9154
-40.0515,-166.4994
-40.2964,-166.0802
-40.5209,-165.6904
-40.7439,-165.2979
-40.9654,-164.9026
-41.1854,-164.5044
-41.4038,-164.1034
-41.6206,-163.6995
-41.8358,-163.2928
-42.0494,-162.8831
-42.2613,-162.4705
-42.4715,-162.055
-42.6801,-161.6365
-42.8869,-161.2151
-43.0919,-160.7907
-43.2952,-160.3633
-43.4966,-159.9328
-43.6963,-159.4992
-43.8942,-159.0626
-44.1063,-158.5863
-44.3002,-158.1434
-44.508,-157.66
-44.6821,-157.2482
-44.8857,-156.7582
-45.0715,-156.3026
-45.2553,-155.8439
-45.437,-155.3821
-45.6167,-154.9171
-45.7943,-154.449
-45.9696,-153.9777
-46.1429,-153.5034
-46.3139,-153.0259
-46.4827,-152.5453
-46.6493,-152.0616
-46.8272,-151.5339
-46.989,-151.0437
-47.1485,-150.5503
-47.3057,-150.0538
-47.4476,-149.5961
-47.6001,-149.0937
-47.7502,-148.5883
-47.8978,-148.0799
-48.043,-147.5684
-48.1974,-147.0108
-48.3372,-146.4931
-48.4745,-145.9725
-48.6092,-145.4489
-48.7413,-144.9224
-48.8707,-144.393
-48.9974,-143.8609
-49.1215,-143.3259
-49.2528,-142.7431
-49.3711,-142.2024
-49.4866,-141.6589
-49.5994,-141.1127
-49.7093,-140.564
-49.8164,-140.0126
-49.9206,-139.4588
-50.0219,-138.9025
-50.1203,-138.3437
-50.2157,-137.7825
-50.3006,-137.2662
-50.3903,-136.7007
-50.4771,-136.133
-50.5608,-135.5631
-50.648,-134.9434
-50.7254,-134.3691
-50.7996,-133.7931
-50.8708,-133.2151
-50.9388,-132.6354
-51.0037,-132.054
-51.0654,-131.471
-51.1287,-130.8375
-51.1883,-130.2019
-51.2358,-129.6632
-51.2845,-129.0742
-51.33,-128.4837
-51.3723,-127.8923
-51.4113,-127.2997
-51.447,-126.706
-51.4795,-126.1115
-51.5087,-125.5162
-51.5347,-124.9201
-51.5573,-124.3233
-51.5766,-123.7259
-51.5927,-123.1282
-51.6054,-122.5299
-51.6149,-121.9315
-51.621,-121.3328
-51.6238,-120.7339
-51.6234,-120.1351
-51.6196,-119.5362
-51.6125,-118.9374
-51.602,-118.3391
-51.5883,-117.741
-51.5728,-117.193
-51.5528,-116.5959
-51.5295,-115.9992
-51.5028,-115.4033
-51.4729,-114.8081
-51.4368,-114.1644
-51.4033,-113.6198
-51.3636,-113.0274
-51.3206,-112.4362
-51.2745,-111.8461
-51.2251,-111.2573
-51.1725,-110.6698
-51.1167,-110.0838
-51.0577,-109.4993
-50.9955,-108.9164
-50.9303,-108.3352
-50.8676,-107.8039
-50.7964,-107.2262
-50.722,-106.6501
-50.6445,-106.0761
-50.564,-105.5042
-50.4804,-104.9343
-50.3938,-104.3665
-50.3041,-103.8009
-50.2194,-103.2843
-50.116,-102.6765
-50.0174,-102.1178
-49.916,-101.5616
-49.8117,-101.0078
-49.7045,-100.4566
-49.5944,-99.908
-49.4816,-99.362
-49.3659,-98.8186
-49.2474,-98.278
-49.1262,-97.7401
-49.0127,-97.2494
-48.8863,-96.7169
-48.7464,-96.1432
-48.6144,-95.6166
-48.4798,-95.0929
-48.3542,-94.6154
-48.2146,-94.0974
-48.0725,-93.5823
-47.9279,-93.0703
-47.7808,-92.5612
-47.6186,-92.013
-47.4664,-91.5103
-47.3117,-91.0106
-47.1547,-90.5141
-46.9953,-90.0207
-46.8336,-89.5304
-46.6696,-89.0432
-46.5173,-88.5992
-46.3489,-88.1179
-46.1783,-87.6398
-46.0055,-87.1648
-45.8306,-86.6929
-45.6534,-86.2241
-45.4742,-85.7585
-45.2929,-85.296
-45.1095,-84.8366
-44.9241,-84.3804
-44.7209,-83.8896
-44.5314,-83.4399
-44.3398,-82.9932
-44.1463,-82.5495
-43.9509,-82.109
-43.7536,-81.6715
-43.5545,-81.2371
-43.3535,-80.8057
-43.1507,-80.3774
-42.9461,-79.9519
-42.7398,-79.5296
-42.5318,-79.1103
-42.322,-78.6939
-42.1106,-78.2805
-41.8975,-77.87
-41.6827,-77.4624
